,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
13,Gold,Spandau Ballet,2X9fsxb6O6bYEopJYmUbNC,https://open.spotify.com/track/2X9fsxb6O6bYEopJYmUbNC,0.711,0.74,10,-7.776,0,0.0361,0.258,0.0111,0.104,0.639,143.053,audio_features,spotify:track:2X9fsxb6O6bYEopJYmUbNC,https://api.spotify.com/v1/tracks/2X9fsxb6O6bYEopJYmUbNC,https://api.spotify.com/v1/audio-analysis/2X9fsxb6O6bYEopJYmUbNC,231480,4
14,Hotel California - 2013 Remaster,Eagles,40riOy7x9W7GXjyGp4pjAv,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4
15,Walk Of Life,Dire Straits,4tyl9OMKMG8F2L0RUYQMH3,https://open.spotify.com/track/4tyl9OMKMG8F2L0RUYQMH3,0.461,0.918,4,-8.507,1,0.0959,0.405,0.00033,0.126,0.802,172.435,audio_features,spotify:track:4tyl9OMKMG8F2L0RUYQMH3,https://api.spotify.com/v1/tracks/4tyl9OMKMG8F2L0RUYQMH3,https://api.spotify.com/v1/audio-analysis/4tyl9OMKMG8F2L0RUYQMH3,249960,4
16,Twisting By The Pool,Dire Straits,0Uvj2JI5aQnueft9MJdNbw,https://open.spotify.com/track/0Uvj2JI5aQnueft9MJdNbw,0.511,0.924,9,-6.869,1,0.0431,0.381,0.0,0.272,0.961,181.972,audio_features,spotify:track:0Uvj2JI5aQnueft9MJdNbw,https://api.spotify.com/v1/tracks/0Uvj2JI5aQnueft9MJdNbw,https://api.spotify.com/v1/audio-analysis/0Uvj2JI5aQnueft9MJdNbw,211733,4
17,Teardrops,Womack & Womack,3OKsqysdjGMJgS4HQqFcZZ,https://open.spotify.com/track/3OKsqysdjGMJgS4HQqFcZZ,0.876,0.826,11,-5.475,1,0.0691,0.108,0.0018,0.0952,0.755,133.591,audio_features,spotify:track:3OKsqysdjGMJgS4HQqFcZZ,https://api.spotify.com/v1/tracks/3OKsqysdjGMJgS4HQqFcZZ,https://api.spotify.com/v1/audio-analysis/3OKsqysdjGMJgS4HQqFcZZ,300173,4
18,"Maniac - From ""Flashdance"" Soundtrack",Michael Sembello,0ULYDyVF3C5OevTLp9Rr7O,https://open.spotify.com/track/0ULYDyVF3C5OevTLp9Rr7O,0.597,0.71,3,-5.914,0,0.049,0.027,3.67e-06,0.0497,0.779,158.876,audio_features,spotify:track:0ULYDyVF3C5OevTLp9Rr7O,https://api.spotify.com/v1/tracks/0ULYDyVF3C5OevTLp9Rr7O,https://api.spotify.com/v1/audio-analysis/0ULYDyVF3C5OevTLp9Rr7O,241907,4
19,Love Is A Shield - Single Version,Camouflage,62mqL2adtq2rdOUJTUwjfx,https://open.spotify.com/track/62mqL2adtq2rdOUJTUwjfx,0.637,0.451,2,-13.065,0,0.0305,0.0138,6.38e-06,0.12,0.388,131.163,audio_features,spotify:track:62mqL2adtq2rdOUJTUwjfx,https://api.spotify.com/v1/tracks/62mqL2adtq2rdOUJTUwjfx,https://api.spotify.com/v1/audio-analysis/62mqL2adtq2rdOUJTUwjfx,236000,4
20,Down Under,Men At Work,46RVKt5Edm1zl0rXhPJZxz,https://open.spotify.com/track/46RVKt5Edm1zl0rXhPJZxz,0.746,0.79,11,-4.7,0,0.0257,0.0485,0.0261,0.0534,0.891,107.231,audio_features,spotify:track:46RVKt5Edm1zl0rXhPJZxz,https://api.spotify.com/v1/tracks/46RVKt5Edm1zl0rXhPJZxz,https://api.spotify.com/v1/audio-analysis/46RVKt5Edm1zl0rXhPJZxz,220867,4
21,I'm Gonna Be (500 Miles),The Proclaimers,66S14BkJDxgkYxLl5DCqOz,https://open.spotify.com/track/66S14BkJDxgkYxLl5DCqOz,0.851,0.551,4,-5.177,1,0.0396,0.151,0.0,0.0827,0.807,131.922,audio_features,spotify:track:66S14BkJDxgkYxLl5DCqOz,https://api.spotify.com/v1/tracks/66S14BkJDxgkYxLl5DCqOz,https://api.spotify.com/v1/audio-analysis/66S14BkJDxgkYxLl5DCqOz,219467,4
22,Sunshine Reggae,Laid Back,0z0JSkE5Nw3i3nin3BBSuG,https://open.spotify.com/track/0z0JSkE5Nw3i3nin3BBSuG,0.704,0.79,8,-5.756,1,0.0432,0.101,0.00657,0.0769,0.933,167.816,audio_features,spotify:track:0z0JSkE5Nw3i3nin3BBSuG,https://api.spotify.com/v1/tracks/0z0JSkE5Nw3i3nin3BBSuG,https://api.spotify.com/v1/audio-analysis/0z0JSkE5Nw3i3nin3BBSuG,257667,4
23,(I Just) Died In Your Arms,Cutting Crew,4ByEFOBuLXpCqvO1kw8Wdm,https://open.spotify.com/track/4ByEFOBuLXpCqvO1kw8Wdm,0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,audio_features,spotify:track:4ByEFOBuLXpCqvO1kw8Wdm,https://api.spotify.com/v1/tracks/4ByEFOBuLXpCqvO1kw8Wdm,https://api.spotify.com/v1/audio-analysis/4ByEFOBuLXpCqvO1kw8Wdm,280400,4
24,She Drives Me Crazy,Fine Young Cannibals,0Zt9fqRK58Y0onY1VwaKp7,https://open.spotify.com/track/0Zt9fqRK58Y0onY1VwaKp7,0.796,0.693,2,-6.02,1,0.0413,0.164,1.77e-05,0.0408,0.954,108.8,audio_features,spotify:track:0Zt9fqRK58Y0onY1VwaKp7,https://api.spotify.com/v1/tracks/0Zt9fqRK58Y0onY1VwaKp7,https://api.spotify.com/v1/audio-analysis/0Zt9fqRK58Y0onY1VwaKp7,218907,4
25,Tell It to My Heart,Taylor Dayne,7IBJfXwBlrrdkGqpQzOFgb,https://open.spotify.com/track/7IBJfXwBlrrdkGqpQzOFgb,0.678,0.959,1,-8.806,1,0.0507,0.0471,6.39e-05,0.305,0.833,118.108,audio_features,spotify:track:7IBJfXwBlrrdkGqpQzOFgb,https://api.spotify.com/v1/tracks/7IBJfXwBlrrdkGqpQzOFgb,https://api.spotify.com/v1/audio-analysis/7IBJfXwBlrrdkGqpQzOFgb,219267,4
26,It's a Sin - 2001 Remaster,Pet Shop Boys,6vYK729O29XnvQqPWyLPfe,https://open.spotify.com/track/6vYK729O29XnvQqPWyLPfe,0.538,0.864,0,-5.928,0,0.0451,0.243,0.00054,0.239,0.293,127.127,audio_features,spotify:track:6vYK729O29XnvQqPWyLPfe,https://api.spotify.com/v1/tracks/6vYK729O29XnvQqPWyLPfe,https://api.spotify.com/v1/audio-analysis/6vYK729O29XnvQqPWyLPfe,300293,4
27,Hold the Line,TOTO,4aVuWgvD0X63hcOCnZtNFA,https://open.spotify.com/track/4aVuWgvD0X63hcOCnZtNFA,0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,audio_features,spotify:track:4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/tracks/4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/audio-analysis/4aVuWgvD0X63hcOCnZtNFA,235547,4
28,"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins,4YR6Dextuoc3I8nJ0XgzKI,https://open.spotify.com/track/4YR6Dextuoc3I8nJ0XgzKI,0.564,0.911,2,-5.39,1,0.0536,0.159,4.36e-05,0.118,0.582,173.938,audio_features,spotify:track:4YR6Dextuoc3I8nJ0XgzKI,https://api.spotify.com/v1/tracks/4YR6Dextuoc3I8nJ0XgzKI,https://api.spotify.com/v1/audio-analysis/4YR6Dextuoc3I8nJ0XgzKI,226293,4
29,Total Eclipse of the Heart,Bonnie Tyler,5p34sF7EskpzTuW3RGy9fs,https://open.spotify.com/track/5p34sF7EskpzTuW3RGy9fs,0.428,0.644,8,-7.582,1,0.0628,0.205,0.0,0.119,0.113,129.432,audio_features,spotify:track:5p34sF7EskpzTuW3RGy9fs,https://api.spotify.com/v1/tracks/5p34sF7EskpzTuW3RGy9fs,https://api.spotify.com/v1/audio-analysis/5p34sF7EskpzTuW3RGy9fs,270547,4
30,Beds Are Burning - Remastered,Midnight Oil,6Nabz5Gsy80XL0MJoOmgF8,https://open.spotify.com/track/6Nabz5Gsy80XL0MJoOmgF8,0.754,0.496,0,-8.7,1,0.0351,0.00539,0.000152,0.0871,0.341,119.186,audio_features,spotify:track:6Nabz5Gsy80XL0MJoOmgF8,https://api.spotify.com/v1/tracks/6Nabz5Gsy80XL0MJoOmgF8,https://api.spotify.com/v1/audio-analysis/6Nabz5Gsy80XL0MJoOmgF8,258173,4
