,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
821,You're My Home,Billy Joel,5ykU1R2EkDFfccEDqKOvvf,https://open.spotify.com/track/5ykU1R2EkDFfccEDqKOvvf,0.566,0.518,5,-12.644,1,0.0283,0.178,9.67e-06,0.187,0.659,93.132,audio_features,spotify:track:5ykU1R2EkDFfccEDqKOvvf,https://api.spotify.com/v1/tracks/5ykU1R2EkDFfccEDqKOvvf,https://api.spotify.com/v1/audio-analysis/5ykU1R2EkDFfccEDqKOvvf,193440,4
822,If I Were You,Terri Clark,6eTcJ12YKr71d6yQQMl627,https://open.spotify.com/track/6eTcJ12YKr71d6yQQMl627,0.417,0.357,11,-8.551,1,0.0261,0.303,0.0,0.103,0.172,150.431,audio_features,spotify:track:6eTcJ12YKr71d6yQQMl627,https://api.spotify.com/v1/tracks/6eTcJ12YKr71d6yQQMl627,https://api.spotify.com/v1/audio-analysis/6eTcJ12YKr71d6yQQMl627,235533,4
823,It's a Heartache,Bonnie Tyler,6XwmOknVeAwN3OQv1lIzCc,https://open.spotify.com/track/6XwmOknVeAwN3OQv1lIzCc,0.555,0.487,0,-11.766,1,0.0317,0.13,0.000868,0.169,0.553,118.913,audio_features,spotify:track:6XwmOknVeAwN3OQv1lIzCc,https://api.spotify.com/v1/tracks/6XwmOknVeAwN3OQv1lIzCc,https://api.spotify.com/v1/audio-analysis/6XwmOknVeAwN3OQv1lIzCc,212000,4
824,Lucky Now,Ryan Adams,1xLiOXTkAetjRqmPQwELn4,https://open.spotify.com/track/1xLiOXTkAetjRqmPQwELn4,0.599,0.34,8,-12.081,1,0.0418,0.671,0.000107,0.094,0.346,120.301,audio_features,spotify:track:1xLiOXTkAetjRqmPQwELn4,https://api.spotify.com/v1/tracks/1xLiOXTkAetjRqmPQwELn4,https://api.spotify.com/v1/audio-analysis/1xLiOXTkAetjRqmPQwELn4,172187,4
825,Leah,Bruce Springsteen,5HkWcIkVoUKsMq1Qvqvg3H,https://open.spotify.com/track/5HkWcIkVoUKsMq1Qvqvg3H,0.534,0.513,10,-10.674,1,0.0283,0.525,0.158,0.128,0.557,127.786,audio_features,spotify:track:5HkWcIkVoUKsMq1Qvqvg3H,https://api.spotify.com/v1/tracks/5HkWcIkVoUKsMq1Qvqvg3H,https://api.spotify.com/v1/audio-analysis/5HkWcIkVoUKsMq1Qvqvg3H,209133,4
826,Walk On the Wild Side,Lou Reed,5p3JunprHCxClJjOmcLV8G,https://open.spotify.com/track/5p3JunprHCxClJjOmcLV8G,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,audio_features,spotify:track:5p3JunprHCxClJjOmcLV8G,https://api.spotify.com/v1/tracks/5p3JunprHCxClJjOmcLV8G,https://api.spotify.com/v1/audio-analysis/5p3JunprHCxClJjOmcLV8G,254173,4
827,Carolina in My Mind,James Taylor,2T5Ch09nefwckOu5NQvjIk,https://open.spotify.com/track/2T5Ch09nefwckOu5NQvjIk,0.579,0.267,4,-15.11,1,0.0348,0.118,0.000562,0.132,0.353,74.899,audio_features,spotify:track:2T5Ch09nefwckOu5NQvjIk,https://api.spotify.com/v1/tracks/2T5Ch09nefwckOu5NQvjIk,https://api.spotify.com/v1/audio-analysis/2T5Ch09nefwckOu5NQvjIk,238573,4
828,Hole in the World - 2013 Remaster,Eagles,2nSdYrRGhnfbncKCtgFWK7,https://open.spotify.com/track/2nSdYrRGhnfbncKCtgFWK7,0.662,0.39,4,-10.416,1,0.0239,0.46,0.0,0.179,0.713,82.007,audio_features,spotify:track:2nSdYrRGhnfbncKCtgFWK7,https://api.spotify.com/v1/tracks/2nSdYrRGhnfbncKCtgFWK7,https://api.spotify.com/v1/audio-analysis/2nSdYrRGhnfbncKCtgFWK7,256973,4
829,I Was Born To Love You,Ray LaMontagne,3YllcvA3PW1DUwjckCVjIw,https://open.spotify.com/track/3YllcvA3PW1DUwjckCVjIw,0.659,0.236,9,-12.56,1,0.0304,0.84,6.32e-05,0.206,0.216,78.088,audio_features,spotify:track:3YllcvA3PW1DUwjckCVjIw,https://api.spotify.com/v1/tracks/3YllcvA3PW1DUwjckCVjIw,https://api.spotify.com/v1/audio-analysis/3YllcvA3PW1DUwjckCVjIw,251933,4
830,Love Reign O'er Me,The Who,4Mqs0h95KAeNiGp7u4udlt,https://open.spotify.com/track/4Mqs0h95KAeNiGp7u4udlt,0.295,0.72,1,-9.51,1,0.0634,0.198,0.0467,0.0941,0.222,116.229,audio_features,spotify:track:4Mqs0h95KAeNiGp7u4udlt,https://api.spotify.com/v1/tracks/4Mqs0h95KAeNiGp7u4udlt,https://api.spotify.com/v1/audio-analysis/4Mqs0h95KAeNiGp7u4udlt,349600,4
