,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
67,Shut Up and Dance,WALK THE MOON,4kbj5MwxO1bq9wjT5g9HaA,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,audio_features,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,https://api.spotify.com/v1/tracks/4kbj5MwxO1bq9wjT5g9HaA,https://api.spotify.com/v1/audio-analysis/4kbj5MwxO1bq9wjT5g9HaA,199080,4
68,One Step Closer,S Club Juniors,6aZyaR6VT9MmN4pxn4J8rK,https://open.spotify.com/track/6aZyaR6VT9MmN4pxn4J8rK,0.651,0.892,9,-6.329,0,0.0807,0.235,0.0,0.853,0.896,126.025,audio_features,spotify:track:6aZyaR6VT9MmN4pxn4J8rK,https://api.spotify.com/v1/tracks/6aZyaR6VT9MmN4pxn4J8rK,https://api.spotify.com/v1/audio-analysis/6aZyaR6VT9MmN4pxn4J8rK,189800,4
69,YMCA - Original Version 1978,Village People,54OR1VDpfkBuOY5zZjhZAY,https://open.spotify.com/track/54OR1VDpfkBuOY5zZjhZAY,0.723,0.969,6,-4.516,1,0.142,0.0643,0.0,0.115,0.728,126.653,audio_features,spotify:track:54OR1VDpfkBuOY5zZjhZAY,https://api.spotify.com/v1/tracks/54OR1VDpfkBuOY5zZjhZAY,https://api.spotify.com/v1/audio-analysis/54OR1VDpfkBuOY5zZjhZAY,286800,4
70,Ain't No Mountain High Enough,Marvin Gaye,1LeWIs2hP2r5yOQnVuYoI5,https://open.spotify.com/track/1LeWIs2hP2r5yOQnVuYoI5,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,audio_features,spotify:track:1LeWIs2hP2r5yOQnVuYoI5,https://api.spotify.com/v1/tracks/1LeWIs2hP2r5yOQnVuYoI5,https://api.spotify.com/v1/audio-analysis/1LeWIs2hP2r5yOQnVuYoI5,151667,4
71,Shine,Take That,1hrsEHe39nYu1pJx0Nrxd7,https://open.spotify.com/track/1hrsEHe39nYu1pJx0Nrxd7,0.581,0.852,8,-3.4,1,0.0372,0.0312,0.0,0.103,0.765,90.01,audio_features,spotify:track:1hrsEHe39nYu1pJx0Nrxd7,https://api.spotify.com/v1/tracks/1hrsEHe39nYu1pJx0Nrxd7,https://api.spotify.com/v1/audio-analysis/1hrsEHe39nYu1pJx0Nrxd7,211507,4
72,Hair,Little Mix,1tg7d4XKCgviATFNkxIX8r,https://open.spotify.com/track/1tg7d4XKCgviATFNkxIX8r,0.692,0.813,7,-5.401,1,0.0413,0.00921,2.74e-05,0.653,0.683,153.971,audio_features,spotify:track:1tg7d4XKCgviATFNkxIX8r,https://api.spotify.com/v1/tracks/1tg7d4XKCgviATFNkxIX8r,https://api.spotify.com/v1/audio-analysis/1tg7d4XKCgviATFNkxIX8r,209280,4
73,Greatest Day,Take That,3LF54Y7TxU5vy3YKAIfiQ4,https://open.spotify.com/track/3LF54Y7TxU5vy3YKAIfiQ4,0.458,0.703,1,-6.22,1,0.0362,0.0647,3.13e-06,0.102,0.17,110.017,audio_features,spotify:track:3LF54Y7TxU5vy3YKAIfiQ4,https://api.spotify.com/v1/tracks/3LF54Y7TxU5vy3YKAIfiQ4,https://api.spotify.com/v1/audio-analysis/3LF54Y7TxU5vy3YKAIfiQ4,239320,4
74,Medley: I Want You Back/ABC/The Love You Save,The Jackson 5,3tl5GQEwWlVdAfUlHso5SX,https://open.spotify.com/track/3tl5GQEwWlVdAfUlHso5SX,0.59,0.838,1,-5.355,1,0.0857,0.153,0.0,0.314,0.852,116.391,audio_features,spotify:track:3tl5GQEwWlVdAfUlHso5SX,https://api.spotify.com/v1/tracks/3tl5GQEwWlVdAfUlHso5SX,https://api.spotify.com/v1/audio-analysis/3tl5GQEwWlVdAfUlHso5SX,186760,4
75,Rule The World - Radio Edit,Take That,3yZNKN3r1USoCVij9VDSh6,https://open.spotify.com/track/3yZNKN3r1USoCVij9VDSh6,0.357,0.774,2,-4.226,1,0.034,0.0376,0.0,0.348,0.348,164.054,audio_features,spotify:track:3yZNKN3r1USoCVij9VDSh6,https://api.spotify.com/v1/tracks/3yZNKN3r1USoCVij9VDSh6,https://api.spotify.com/v1/audio-analysis/3yZNKN3r1USoCVij9VDSh6,237760,4
76,Angels,Robbie Williams,1M2nd8jNUkkwrc1dgBPTJz,https://open.spotify.com/track/1M2nd8jNUkkwrc1dgBPTJz,0.429,0.594,4,-6.251,1,0.0277,0.156,4.95e-06,0.1,0.236,150.22,audio_features,spotify:track:1M2nd8jNUkkwrc1dgBPTJz,https://api.spotify.com/v1/tracks/1M2nd8jNUkkwrc1dgBPTJz,https://api.spotify.com/v1/audio-analysis/1M2nd8jNUkkwrc1dgBPTJz,265000,4
